algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,14000,360,250.0,15.0,0.0,393,0.6828323330000785,low
stbfm,14000,360,250.0,15.0,1.0,0,0.6650316249999833,high
stbfm,14000,360,250.0,15.0,0.5,0,0.6877342919999592,binary_1
stbfm,14000,360,250.0,15.0,0.25,0,0.6844997499999863,binary_2
stbfm,14000,360,250.0,15.0,0.125,0,0.6932687920000262,binary_3
stbfm,14000,360,250.0,15.0,0.0625,0,0.6970201669998914,binary_4
stbfm,14000,360,250.0,15.0,0.03125,3,0.6659122079997815,binary_5
stbfm,14000,360,250.0,15.0,0.015625,13,0.6607758750001267,binary_6
stbfm,14000,360,250.0,15.0,0.0078125,47,0.6712509999999838,binary_7
stbfm,14000,360,250.0,15.0,0.00390625,104,0.7128824159999567,binary_8
