length,support,support_ratio,event_type_sequence,locations,weights,weight_ratios
2,6.169507461261447,0.6169507461261448,Subway -> Bar,"[(-73.9539069896124, 40.79648450013265), (-73.9539069896124, 40.71152385094095)]","(6.169507461261447,)","(0.6169507461261448,)"
2,6.168786117764209,0.6168786117764209,Residential Building (Apartment / Condo) -> Bar,"[(-73.9539069896124, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(6.168786117764209,)","(0.6168786117764209,)"
2,6.159642710315288,0.6159642710315288,Residential Building (Apartment / Condo) -> Bar,"[(-73.89629901058355, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(6.159642710315288,)","(0.6159642710315288,)"
2,6.12644077906909,0.612644077906909,Food & Drink Shop -> Bar,"[(-74.01151496864126, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(6.12644077906909,)","(0.612644077906909,)"
2,6.061219507866576,0.6061219507866575,Train Station -> Bar,"[(-73.9539069896124, 40.7540041755368), (-73.9539069896124, 40.71152385094095)]","(6.061219507866576,)","(0.6061219507866575,)"
2,5.918537238810149,0.5918537238810149,Residential Building (Apartment / Condo) -> Bar,"[(-73.9539069896124, 40.7540041755368), (-73.9539069896124, 40.71152385094095)]","(5.918537238810149,)","(0.5918537238810149,)"
2,5.864015829605888,0.5864015829605889,Subway -> Bar,"[(-73.89629901058355, 40.7540041755368), (-73.9539069896124, 40.71152385094095)]","(5.864015829605888,)","(0.5864015829605889,)"
2,5.778798556065959,0.5778798556065958,Bar -> Home (private),"[(-74.12673092669897, 40.8389648247285), (-74.18433890572783, 40.79648450013265)]","(5.778798556065959,)","(0.5778798556065958,)"
2,5.629956076274416,0.5629956076274416,Deli / Bodega -> Bar,"[(-74.01151496864126, 40.71152385094095), (-73.9539069896124, 40.71152385094095)]","(5.629956076274416,)","(0.5629956076274416,)"
2,5.569334901049228,0.5569334901049228,Home (private) -> Bar,"[(-74.01151496864126, 40.71152385094095), (-73.9539069896124, 40.71152385094095)]","(5.569334901049228,)","(0.5569334901049228,)"
2,5.552839292859963,0.5552839292859962,Residential Building (Apartment / Condo) -> Bar,"[(-74.01151496864126, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(5.552839292859963,)","(0.5552839292859962,)"
2,4.880610109704747,0.4880610109704747,Home (private) -> Bar,"[(-73.89629901058355, 40.71152385094095), (-73.9539069896124, 40.71152385094095)]","(4.880610109704747,)","(0.4880610109704747,)"
2,4.754000362377866,0.4754000362377866,Train Station -> Other Great Outdoors,"[(-73.9539069896124, 40.7540041755368), (-73.9539069896124, 40.71152385094095)]","(4.754000362377866,)","(0.4754000362377866,)"
2,4.746381554695552,0.47463815546955523,Subway -> Bar,"[(-73.9539069896124, 40.7540041755368), (-73.9539069896124, 40.71152385094095)]","(4.746381554695552,)","(0.47463815546955523,)"
2,4.741197537564125,0.4741197537564125,Subway -> Other Great Outdoors,"[(-73.9539069896124, 40.79648450013265), (-73.9539069896124, 40.71152385094095)]","(4.741197537564125,)","(0.4741197537564125,)"
2,4.739811301679907,0.4739811301679907,Residential Building (Apartment / Condo) -> Other Great Outdoors,"[(-73.9539069896124, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(4.739811301679907,)","(0.4739811301679907,)"
2,4.723295510323086,0.4723295510323086,Residential Building (Apartment / Condo) -> Other Great Outdoors,"[(-73.89629901058355, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(4.723295510323086,)","(0.4723295510323086,)"
2,4.719938892670252,0.47199388926702524,Bar -> Home (private),"[(-74.24194688475669, 40.79648450013265), (-74.18433890572783, 40.79648450013265)]","(4.719938892670252,)","(0.47199388926702524,)"
2,4.671414093835521,0.4671414093835521,Food & Drink Shop -> Other Great Outdoors,"[(-74.01151496864126, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(4.671414093835521,)","(0.4671414093835521,)"
2,4.6221029697931115,0.46221029697931115,Subway -> Other Great Outdoors,"[(-73.89629901058355, 40.7540041755368), (-73.9539069896124, 40.71152385094095)]","(4.6221029697931115,)","(0.46221029697931115,)"
2,4.450083483416681,0.44500834834166814,Train Station -> Neighborhood,"[(-73.9539069896124, 40.7540041755368), (-73.9539069896124, 40.6690435263451)]","(4.450083483416681,)","(0.44500834834166814,)"
2,4.44147231914377,0.444147231914377,American Restaurant -> Home (private),"[(-74.06912294767012, 40.79648450013265), (-74.18433890572783, 40.79648450013265)]","(4.44147231914377,)","(0.444147231914377,)"
2,4.407242314871713,0.44072423148717127,Residential Building (Apartment / Condo) -> Neighborhood,"[(-73.9539069896124, 40.6690435263451), (-73.9539069896124, 40.6690435263451)]","(4.407242314871713,)","(0.44072423148717127,)"
2,4.4048168308827975,0.44048168308827973,Residential Building (Apartment / Condo) -> Other Great Outdoors,"[(-73.9539069896124, 40.7540041755368), (-73.9539069896124, 40.71152385094095)]","(4.4048168308827975,)","(0.44048168308827973,)"
2,4.390870148995106,0.4390870148995106,Residential Building (Apartment / Condo) -> Other Great Outdoors,"[(-74.01151496864126, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(4.390870148995106,)","(0.4390870148995106,)"
2,4.388980089468813,0.4388980089468813,Residential Building (Apartment / Condo) -> Neighborhood,"[(-73.89629901058355, 40.6690435263451), (-73.9539069896124, 40.6690435263451)]","(4.388980089468813,)","(0.4388980089468813,)"
2,4.343843164227899,0.43438431642278996,Home (private) -> Bar,"[(-73.9539069896124, 40.62656320174925), (-73.9539069896124, 40.71152385094095)]","(4.343843164227899,)","(0.43438431642278996,)"
2,4.332664197609021,0.4332664197609021,Food & Drink Shop -> Neighborhood,"[(-74.01151496864126, 40.6690435263451), (-73.9539069896124, 40.6690435263451)]","(4.332664197609021,)","(0.4332664197609021,)"
2,4.32766441932065,0.432766441932065,Deli / Bodega -> Bar,"[(-73.9539069896124, 40.79648450013265), (-73.9539069896124, 40.71152385094095)]","(4.32766441932065,)","(0.432766441932065,)"
2,4.321458677127343,0.43214586771273433,Residential Building (Apartment / Condo) -> Subway,"[(-73.9539069896124, 40.6690435263451), (-74.01151496864126, 40.62656320174925)]","(4.321458677127343,)","(0.43214586771273433,)"
2,4.245277028702983,0.4245277028702983,Food & Drink Shop -> Subway,"[(-74.01151496864126, 40.6690435263451), (-74.01151496864126, 40.62656320174925)]","(4.245277028702983,)","(0.4245277028702983,)"
2,4.237577781149029,0.4237577781149029,Bar -> Other Great Outdoors,"[(-73.9539069896124, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(4.237577781149029,)","(0.4237577781149029,)"
2,4.1208444677675455,0.41208444677675454,Residential Building (Apartment / Condo) -> Neighborhood,"[(-74.01151496864126, 40.6690435263451), (-73.9539069896124, 40.6690435263451)]","(4.1208444677675455,)","(0.41208444677675454,)"
2,4.069915965275851,0.4069915965275851,Deli / Bodega -> Other Great Outdoors,"[(-74.01151496864126, 40.71152385094095), (-73.9539069896124, 40.71152385094095)]","(4.069915965275851,)","(0.4069915965275851,)"
2,4.052053332216653,0.4052053332216653,Residential Building (Apartment / Condo) -> Neighborhood,"[(-73.9539069896124, 40.7540041755368), (-73.9539069896124, 40.6690435263451)]","(4.052053332216653,)","(0.4052053332216653,)"
2,4.05122512763135,0.40512251276313493,Residential Building (Apartment / Condo) -> Subway,"[(-74.01151496864126, 40.6690435263451), (-74.01151496864126, 40.62656320174925)]","(4.05122512763135,)","(0.40512251276313493,)"
2,4.001444563181721,0.4001444563181721,Home (private) -> Other Great Outdoors,"[(-74.01151496864126, 40.71152385094095), (-73.9539069896124, 40.71152385094095)]","(4.001444563181721,)","(0.4001444563181721,)"
2,3.978247753930975,0.3978247753930975,Bar -> Neighborhood,"[(-73.9539069896124, 40.6690435263451), (-73.9539069896124, 40.6690435263451)]","(3.978247753930975,)","(0.3978247753930975,)"
2,3.9113872156702745,0.39113872156702745,Bar -> Subway,"[(-73.9539069896124, 40.6690435263451), (-74.01151496864126, 40.62656320174925)]","(3.9113872156702745,)","(0.39113872156702745,)"
2,3.7837600035708103,0.378376000357081,Bar -> Other Great Outdoors,"[(-73.9539069896124, 40.62656320174925), (-73.9539069896124, 40.71152385094095)]","(3.7837600035708103,)","(0.378376000357081,)"
2,3.7616797670285216,0.3761679767028522,Subway -> Other Great Outdoors,"[(-73.9539069896124, 40.7540041755368), (-73.9539069896124, 40.71152385094095)]","(3.7616797670285216,)","(0.3761679767028522,)"
2,3.7059956811453985,0.37059956811453987,Deli / Bodega -> Neighborhood,"[(-74.01151496864126, 40.71152385094095), (-73.9539069896124, 40.6690435263451)]","(3.7059956811453985,)","(0.37059956811453987,)"
2,3.6885629190355393,0.36885629190355396,Subway -> Bar,"[(-73.89629901058355, 40.6690435263451), (-73.9539069896124, 40.71152385094095)]","(3.6885629190355393,)","(0.36885629190355396,)"
2,3.6356246975866413,0.36356246975866413,Home (private) -> Neighborhood,"[(-74.01151496864126, 40.71152385094095), (-73.9539069896124, 40.6690435263451)]","(3.6356246975866413,)","(0.36356246975866413,)"
2,3.6221247843541144,0.36221247843541143,Bar -> Other Great Outdoors,"[(-74.01151496864126, 40.71152385094095), (-73.9539069896124, 40.71152385094095)]","(3.6221247843541144,)","(0.36221247843541143,)"
2,3.6120592335102226,0.36120592335102225,Deli / Bodega -> Subway,"[(-74.01151496864126, 40.71152385094095), (-74.01151496864126, 40.62656320174925)]","(3.6120592335102226,)","(0.36120592335102225,)"
2,3.55358522631178,0.355358522631178,Bar -> Neighborhood,"[(-73.9539069896124, 40.62656320174925), (-73.9539069896124, 40.6690435263451)]","(3.55358522631178,)","(0.355358522631178,)"
2,3.541192608250765,0.3541192608250765,Home (private) -> Subway,"[(-74.01151496864126, 40.71152385094095), (-74.01151496864126, 40.62656320174925)]","(3.541192608250765,)","(0.3541192608250765,)"
2,3.5328781170705135,0.35328781170705137,Subway -> Neighborhood,"[(-73.9539069896124, 40.7540041755368), (-73.9539069896124, 40.6690435263451)]","(3.5328781170705135,)","(0.35328781170705137,)"
2,3.499872180013772,0.3499872180013772,Home (private) -> Bar,"[(-73.9539069896124, 40.71152385094095), (-73.9539069896124, 40.71152385094095)]","(3.499872180013772,)","(0.3499872180013772,)"
2,3.4942427901659037,0.34942427901659034,Bar -> Subway,"[(-73.9539069896124, 40.62656320174925), (-74.01151496864126, 40.62656320174925)]","(3.4942427901659037,)","(0.34942427901659034,)"
