sequence,length,sequence_index,tail_event_count,last_density_ratio
Coffee Shop -> Office,2,197.3066825813542,48,197.3066825813542
Coffee Shop -> Office -> Deli / Bodega,3,197.3066825813542,3,204.78042055792065
Coffee Shop -> Office -> Deli / Bodega -> Coffee Shop,4,197.3066825813542,2,273.04056074389416
Coffee Shop -> Office -> Deli / Bodega -> Neighborhood,4,197.3066825813542,1,289.1017701994174
Coffee Shop -> Office -> Deli / Bodega -> Neighborhood -> Coffee Shop,5,197.3066825813542,1,409.56084111584124
Coffee Shop -> Office -> Deli / Bodega -> Neighborhood -> Gym / Fitness Center,5,197.3066825813542,1,310.4040058983218
Coffee Shop -> Office -> Deli / Bodega -> Neighborhood -> Office,5,197.3066825813542,1,215.24365372511366
Coffee Shop -> Office -> Deli / Bodega -> Office,4,197.3066825813542,2,215.24365372511366
Coffee Shop -> Office -> Deli / Bodega -> Office -> Coffee Shop,5,197.3066825813542,1,204.78042055792062
Coffee Shop -> Office -> Deli / Bodega -> Office -> Neighborhood,5,197.3066825813542,1,433.6526552991261
Coffee Shop -> Office -> Neighborhood,3,197.3066825813542,3,234.8951882870266
Coffee Shop -> Office -> Neighborhood -> American Restaurant,4,197.3066825813542,1,728.1081619837178
Coffee Shop -> Office -> American Restaurant,3,182.02704049592944,4,182.02704049592944
Coffee Shop -> Office -> American Restaurant -> Gym / Fitness Center,4,182.02704049592944,3,232.80300442374136
Coffee Shop -> Office -> Deli / Bodega -> Office -> Subway,5,179.80719853866202,1,179.80719853866202
Coffee Shop -> Office -> American Restaurant -> Bar,4,158.53968043193856,2,158.53968043193856
Coffee Shop -> Office -> American Restaurant -> Bar -> American Restaurant,5,158.53968043193856,1,546.0811214877883
Coffee Shop -> Office -> Coffee Shop,3,153.58531541844047,11,153.58531541844047
Coffee Shop -> Office -> Coffee Shop -> Deli / Bodega,4,153.58531541844047,2,243.70562446562457
Coffee Shop -> Office -> Coffee Shop -> Deli / Bodega -> Coffee Shop,5,153.58531541844047,2,409.56084111584124
Coffee Shop -> Office -> Coffee Shop -> Deli / Bodega -> Neighborhood,5,153.58531541844047,1,433.6526552991261
Coffee Shop -> Office -> Coffee Shop -> Deli / Bodega -> Office,5,153.58531541844047,2,322.8654805876705
Coffee Shop -> Office -> Coffee Shop -> Deli / Bodega -> Subway,5,153.58531541844047,1,179.80719853866202
Coffee Shop -> Office -> Coffee Shop -> Neighborhood,4,153.58531541844047,1,157.69187465422766
Coffee Shop -> Office -> Coffee Shop -> Neighborhood -> Coffee Shop,5,153.58531541844047,1,409.56084111584124
Coffee Shop -> Office -> Coffee Shop -> Neighborhood -> Gym / Fitness Center,5,153.58531541844047,1,310.4040058983218
Coffee Shop -> Office -> Coffee Shop -> Neighborhood -> Office,5,153.58531541844047,1,215.24365372511366
Coffee Shop -> Office -> Coffee Shop -> Office,4,153.58531541844047,9,313.0816781456199
Coffee Shop -> Office -> Coffee Shop -> Office -> Coffee Shop,5,153.58531541844047,4,182.02704049592947
Coffee Shop -> Office -> Coffee Shop -> Office -> Deli / Bodega,5,153.58531541844047,1,297.86242990243
Coffee Shop -> Office -> Coffee Shop -> Office -> Gym / Fitness Center,5,153.58531541844047,2,172.44666994351212
Coffee Shop -> Office -> Coffee Shop -> Office -> Neighborhood,5,153.58531541844047,1,385.4690269325565
American Restaurant -> Bar,2,152.66784041594084,12,152.66784041594084
American Restaurant -> Bar -> Gym / Fitness Center,3,152.66784041594084,2,155.2020029491609
American Restaurant -> Bar -> Gym / Fitness Center -> Bar,4,152.66784041594084,5,951.2380825916314
American Restaurant -> Bar -> Gym / Fitness Center -> Bar -> Other Great Outdoors,5,152.66784041594084,1,445.1076310994803
American Restaurant -> Bar -> Gym / Fitness Center -> Other Great Outdoors,4,152.66784041594084,1,278.1922694371752
American Restaurant -> Bar -> Gym / Fitness Center -> Other Great Outdoors -> Bar,5,152.66784041594084,1,317.0793608638771
American Restaurant -> Bar -> Gym / Fitness Center -> Residential Building (Apartment / Condo),4,152.66784041594084,1,460.7559462553215
American Restaurant -> Bar -> Gym / Fitness Center -> Residential Building (Apartment / Condo) -> Bar,5,152.66784041594084,3,951.2380825916314
American Restaurant -> Bar -> Gym / Fitness Center -> Residential Building (Apartment / Condo) -> Gym / Fitness Center,5,152.66784041594084,1,310.4040058983218
American Restaurant -> Bar -> Gym / Fitness Center -> Residential Building (Apartment / Condo) -> Other Great Outdoors,5,152.66784041594084,1,556.3845388743504
American Restaurant -> Bar -> Other Great Outdoors,3,152.66784041594084,2,185.4615129581168
American Restaurant -> Bar -> Other Great Outdoors -> Bar,4,152.66784041594084,4,634.1587217277543
American Restaurant -> Bar -> Other Great Outdoors -> Bar -> Gym / Fitness Center,5,152.66784041594084,2,155.2020029491609
American Restaurant -> Bar -> Other Great Outdoors -> Bar -> Other Great Outdoors,5,152.66784041594084,1,278.1922694371752
American Restaurant -> Bar -> Other Great Outdoors -> Gym / Fitness Center,4,152.66784041594084,1,155.2020029491609
American Restaurant -> Bar -> Other Great Outdoors -> Gym / Fitness Center -> Bar,5,152.66784041594084,4,1268.3174434555085
American Restaurant -> Bar -> Other Great Outdoors -> Gym / Fitness Center -> Residential Building (Apartment / Condo),5,152.66784041594084,1,921.511892510643
American Restaurant -> Bar -> Other Great Outdoors -> Subway,4,152.66784041594084,1,179.80719853866202
American Restaurant -> Bar -> Other Great Outdoors -> Subway -> Bar,5,152.66784041594084,1,317.0793608638771
