algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
sts_miner,7500,3301,250.0,15.0,1.0,226,0.6437299589999839,low
sts_miner,7500,3301,250.0,15.0,2.0,226,0.6832932500000197,high
sts_miner,7500,3301,250.0,15.0,1.5,226,0.7288223750000498,binary_1
sts_miner,7500,3301,250.0,15.0,1.25,226,0.6977657080000199,binary_2
sts_miner,7500,3301,250.0,15.0,1.125,226,0.6321704160000081,binary_3
sts_miner,7500,3301,250.0,15.0,1.0625,226,0.7452203340000096,binary_4
sts_miner,7500,3301,250.0,15.0,1.03125,226,0.6677684999999656,binary_5
sts_miner,7500,3301,250.0,15.0,1.015625,226,0.6496326669999917,binary_6
sts_miner,7500,3301,250.0,15.0,1.0078125,226,0.659237290999954,binary_7
sts_miner,7500,3301,250.0,15.0,1.00390625,226,0.6351148749999993,binary_8
sts_miner,7500,3301,250.0,30.0,1.0,359,1.0312614590000067,low
sts_miner,7500,3301,250.0,30.0,2.0,359,0.9002607910000506,high
sts_miner,7500,3301,250.0,30.0,1.5,359,0.9685736669999869,binary_1
sts_miner,7500,3301,250.0,30.0,1.25,359,1.3140465000000177,binary_2
sts_miner,7500,3301,250.0,30.0,1.125,359,1.269655000000057,binary_3
sts_miner,7500,3301,250.0,30.0,1.0625,359,1.1374052499999152,binary_4
sts_miner,7500,3301,250.0,30.0,1.03125,359,0.9561793750000334,binary_5
sts_miner,7500,3301,250.0,30.0,1.015625,359,0.9725407089999862,binary_6
sts_miner,7500,3301,250.0,30.0,1.0078125,359,0.8892738330000611,binary_7
sts_miner,7500,3301,250.0,30.0,1.00390625,359,1.0802722919999042,binary_8
sts_miner,7500,3301,250.0,60.0,1.0,896,2.317923292000046,low
sts_miner,7500,3301,250.0,60.0,2.0,896,2.1237083329999678,high
sts_miner,7500,3301,250.0,60.0,1.5,896,2.049499292000064,binary_1
sts_miner,7500,3301,250.0,60.0,1.25,896,1.8393692909999118,binary_2
sts_miner,7500,3301,250.0,60.0,1.125,896,1.873137541999995,binary_3
sts_miner,7500,3301,250.0,60.0,1.0625,896,2.1304096659999914,binary_4
sts_miner,7500,3301,250.0,60.0,1.03125,896,1.8068710410000222,binary_5
sts_miner,7500,3301,250.0,60.0,1.015625,896,1.7196364159999575,binary_6
sts_miner,7500,3301,250.0,60.0,1.0078125,896,1.6139187919999358,binary_7
sts_miner,7500,3301,250.0,60.0,1.00390625,896,1.635541083000021,binary_8
sts_miner,7500,3301,250.0,120.0,1.0,2437,3.0643099589999565,low
sts_miner,7500,3301,250.0,120.0,2.0,2437,3.214889957999958,high
sts_miner,7500,3301,250.0,120.0,1.5,2437,3.134576250000009,binary_1
sts_miner,7500,3301,250.0,120.0,1.25,2437,3.3030769999999166,binary_2
sts_miner,7500,3301,250.0,120.0,1.125,2437,3.5773332920000485,binary_3
sts_miner,7500,3301,250.0,120.0,1.0625,2437,4.571691790999921,binary_4
sts_miner,7500,3301,250.0,120.0,1.03125,2437,3.524869707999983,binary_5
sts_miner,7500,3301,250.0,120.0,1.015625,2437,3.1969815830000243,binary_6
sts_miner,7500,3301,250.0,120.0,1.0078125,2437,3.05269870799998,binary_7
sts_miner,7500,3301,250.0,120.0,1.00390625,2437,3.265301665999914,binary_8
sts_miner,7500,3301,250.0,240.0,1.0,6620,6.4362470840000015,low
sts_miner,7500,3301,250.0,240.0,2.0,6619,6.69960541599994,high
sts_miner,7500,3301,250.0,240.0,4.0,6604,6.722557832999996,expand_high
sts_miner,7500,3301,250.0,240.0,8.0,6564,6.8089622920000465,expand_high
sts_miner,7500,3301,250.0,240.0,16.0,6392,6.0715734999999995,expand_high
sts_miner,7500,3301,250.0,240.0,32.0,6084,5.717989624999973,expand_high
sts_miner,7500,3301,250.0,240.0,64.0,4354,4.236700917000007,expand_high
sts_miner,7500,3301,250.0,240.0,128.0,1318,2.6860841660000006,expand_high
sts_miner,7500,3301,250.0,240.0,96.0,2467,2.9507098329999053,binary_1
sts_miner,7500,3301,250.0,240.0,80.0,3534,3.7174022499999637,binary_2
