event_type_count,algorithm,event_count,target_pattern_count,pattern_count,within_tolerance,mining_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path,absolute_pattern_count_difference,relative_pattern_count_difference,tolerance_patterns,spatial_radius,temporal_window,threshold,attempt_count,attempts_path
15,online_stsp,500,28,28,True,2.5550841250000005,2.5550841250000005,0.00039379199999967085,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_000500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_000500_metadata.json,,,,,,,,
15,sts_miner,500,28,28,True,0.025992084000009186,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_000500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_000500_metadata.json,0.0,0.0,5.0,250.0,15.0,128.0,9.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_000500_attempts.csv
15,stbfm,500,28,27,True,0.023184207999989326,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_000500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_000500_metadata.json,1.0,0.03571428571428571,5.0,250.0,15.0,0.015625,8.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_000500_attempts.csv
15,online_stsp,1000,5190,5190,True,2.0974471659999994,4.652531291,0.0810190000000004,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_001000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_001000_metadata.json,,,,,,,,
15,sts_miner,1000,5190,5616,True,0.8545724579999927,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_001000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_001000_metadata.json,426.0,0.08208092485549133,779.0,500.0,120.0,48.0,88.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_001000_attempts.csv
15,stbfm,1000,5190,4708,True,0.2629713339999995,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_001000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_001000_metadata.json,482.0,0.0928709055876686,779.0,500.0,240.0,0.0234375,99.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_001000_attempts.csv
15,online_stsp,1500,1437,1437,True,2.1143972919999996,6.766928582999999,0.018376292000001015,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_001500_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_001500_metadata.json,,,,,,,,
15,sts_miner,1500,1437,1323,True,0.491801707999997,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_001500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_001500_metadata.json,114.0,0.07933194154488518,216.0,250.0,240.0,96.0,49.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_001500_attempts.csv
15,stbfm,1500,1437,1626,True,0.2467368749999963,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_001500_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_001500_metadata.json,189.0,0.1315240083507307,216.0,250.0,240.0,0.0078125,49.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/stbfm/stbfm_001500_attempts.csv
15,online_stsp,2000,3377,3377,True,2.0189720000000015,8.785900583,0.03905295800000097,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_002000_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/online/online_snapshot_002000_metadata.json,,,,,,,,
15,sts_miner,2000,3377,3160,True,0.713996542000018,,,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_002000_best_patterns.csv,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_002000_metadata.json,217.0,0.06425821735267989,507.0,500.0,60.0,1.5,73.0,Results/Quantitative_experiment/run_20260521_123349/event_types_15/sts_miner/sts_miner_002000_attempts.csv
