sequence,length,participation_index,tail_event_count,last_participation_ratio
Office -> Deli / Bodega,2,0.06091030789825971,91,0.06091030789825971
Office -> Coffee Shop,2,0.05766369047619048,155,0.05766369047619048
Coffee Shop -> Office,2,0.04389432078219264,211,0.04389432078219264
Bar -> American Restaurant,2,0.03413498836307215,44,0.03413498836307215
Office -> Neighborhood,2,0.026564344746162927,45,0.026564344746162927
Subway -> Office,2,0.02288329519450801,110,0.02288329519450801
Subway -> Train Station,2,0.022331566994700985,59,0.022331566994700985
Other Great Outdoors -> Park,2,0.0208110992529349,39,0.0208110992529349
Subway -> Food & Drink Shop,2,0.020630595562475672,53,0.020630595562475672
Office -> Park,2,0.020277481323372464,38,0.020277481323372464
Subway -> Bus Station,2,0.019988895058300944,36,0.019988895058300944
Office -> American Restaurant,2,0.019394879751745538,25,0.019394879751745538
Food & Drink Shop -> Park,2,0.0192102454642476,36,0.0192102454642476
Coffee Shop -> Deli / Bodega,2,0.018741633199464525,28,0.018741633199464525
Office -> Subway,2,0.018696442482472084,72,0.018696442482472084
Office -> Train Station,2,0.01854655563966692,49,0.01854655563966692
Park -> Food & Drink Shop,2,0.018295056442195406,47,0.018295056442195406
Deli / Bodega -> Office,2,0.018098606199292697,87,0.018098606199292697
Office -> Gym / Fitness Center,2,0.017792421746293245,54,0.017792421746293245
Subway -> Deli / Bodega,2,0.01740294511378849,26,0.01740294511378849
Office -> Food & Drink Shop,2,0.017127286882055275,44,0.017127286882055275
Subway -> Park,2,0.017075773745997867,32,0.017075773745997867
Train Station -> Subway,2,0.016878732796676187,65,0.016878732796676187
Food & Drink Shop -> Bus Station,2,0.01665741254858412,30,0.01665741254858412
Park -> Deli / Bodega,2,0.01606425702811245,24,0.01606425702811245
Coffee Shop -> Bus Station,2,0.015546918378678512,28,0.015546918378678512
Coffee Shop -> Park,2,0.015474919957310566,29,0.015474919957310566
Train Station -> Coffee Shop,2,0.01488095238095238,40,0.01488095238095238
Coffee Shop -> Train Station,2,0.014761544284632853,39,0.014761544284632853
Train Station -> Deli / Bodega,2,0.014725568942436412,22,0.014725568942436412
Gym / Fitness Center -> Office,2,0.014562096941959642,70,0.014562096941959642
Other Great Outdoors -> Deli / Bodega,2,0.014056224899598393,21,0.014056224899598393
Park -> Other Great Outdoors,2,0.013440860215053764,25,0.013440860215053764
Subway -> Coffee Shop,2,0.013392857142857142,36,0.013392857142857142
Coffee Shop -> Food & Drink Shop,2,0.013234721681588166,34,0.013234721681588166
Coffee Shop -> American Restaurant,2,0.013188518231186967,17,0.013188518231186967
Food & Drink Shop -> Office,2,0.013105887247763678,63,0.013105887247763678
Subway -> Neighborhood,2,0.012987012987012988,22,0.012987012987012988
Deli / Bodega -> Park,2,0.012806830309498399,24,0.012806830309498399
Residential Building (Apartment / Condo) -> Deli / Bodega,2,0.012717536813922356,19,0.012717536813922356
Food & Drink Shop -> Residential Building (Apartment / Condo),2,0.012715033657442034,17,0.012715033657442034
Food & Drink Shop -> Coffee Shop,2,0.012648809523809524,34,0.012648809523809524
Gym / Fitness Center -> American Restaurant,2,0.012412723041117145,16,0.012412723041117145
Coffee Shop -> Subway,2,0.01194494936380161,46,0.01194494936380161
Subway -> American Restaurant,2,0.011636927851047323,15,0.011636927851047323
Office -> Coffee Shop -> Office,3,0.011441647597254004,55,0.011441647597254004
Neighborhood -> Park,2,0.011205976520811099,21,0.011205976520811099
Bar -> Coffee Shop,2,0.011160714285714286,30,0.011160714285714286
Other Great Outdoors -> Bus Station,2,0.01110494169905608,20,0.01110494169905608
Neighborhood -> Office,2,0.011025587684626586,53,0.011025587684626586
Park -> Coffee Shop,2,0.010788690476190476,29,0.010788690476190476
Bar -> Bus Station,2,0.010549694614103275,19,0.010549694614103275
Coffee Shop -> Gym / Fitness Center,2,0.010543657331136738,32,0.010543657331136738
Train Station -> Office,2,0.01040149781568546,50,0.01040149781568546
Gym / Fitness Center -> Food & Drink Shop,2,0.01012066952121448,26,0.01012066952121448
Park -> Office,2,0.00998543790305804,48,0.00998543790305804
Other Great Outdoors -> Home (private),2,0.009678477690288715,59,0.009678477690288715
Deli / Bodega -> Coffee Shop,2,0.009672619047619048,26,0.009672619047619048
Bar -> Deli / Bodega,2,0.009370816599732263,14,0.009370816599732263
Bus Station -> Park,2,0.009071504802561366,17,0.009071504802561366
Deli / Bodega -> Food & Drink Shop,2,0.008952899961074349,23,0.008952899961074349
Gym / Fitness Center -> Coffee Shop,2,0.008928571428571428,24,0.008928571428571428
Bar -> Gym / Fitness Center,2,0.008896210873146623,27,0.008896210873146623
Park -> Neighborhood,2,0.00885478158205431,15,0.00885478158205431
Train Station -> Neighborhood,2,0.00885478158205431,15,0.00885478158205431
Bar -> Office,2,0.008737258165175786,42,0.008737258165175786
Food & Drink Shop -> Deli / Bodega,2,0.008701472556894244,13,0.008701472556894244
Other Great Outdoors -> Subway,2,0.008569202804466372,33,0.008569202804466372
Park -> Bus Station,2,0.00832870627429206,15,0.00832870627429206
Train Station -> Office -> Train Station,3,0.008327024981074944,22,0.008327024981074944
Bar -> Food & Drink Shop,2,0.008174386920980926,21,0.008174386920980926
Gym / Fitness Center -> Park,2,0.0080042689434365,15,0.0080042689434365
Train Station -> Subway -> Train Station,3,0.007948523845571537,21,0.007948523845571537
Office -> Bar,2,0.007871133077063884,43,0.007871133077063884
Food & Drink Shop -> Subway,2,0.007790184367696702,30,0.007790184367696702
Coffee Shop -> Neighborhood,2,0.007674144037780401,13,0.007674144037780401
Deli / Bodega -> Residential Building (Apartment / Condo),2,0.0074794315632011965,10,0.0074794315632011965
Bus Station -> Coffee Shop,2,0.00744047619047619,20,0.00744047619047619
Park -> Office -> Deli / Bodega,3,0.007362784471218206,11,0.007362784471218206
American Restaurant -> Bar,2,0.007321984257733846,40,0.007321984257733846
American Restaurant -> Office,2,0.007281048470979821,35,0.007281048470979821
Bus Station -> Subway,2,0.007270838743183588,28,0.007270838743183588
Bus Station -> Coffee Shop -> Bus Station,3,0.007218212104386452,13,0.007218212104386452
Gym / Fitness Center -> Bar,2,0.007138934651290499,39,0.007138934651290499
Train Station -> Bar,2,0.007138934651290499,39,0.007138934651290499
American Restaurant -> Coffee Shop,2,0.007068452380952381,19,0.007068452380952381
Train Station -> American Restaurant,2,0.0069821567106283944,9,0.0069821567106283944
Bar -> Park,2,0.006937033084311633,13,0.006937033084311633
Office -> Residential Building (Apartment / Condo),2,0.006731488406881077,9,0.006731488406881077
Food & Drink Shop -> Gym / Fitness Center,2,0.006589785831960461,20,0.006589785831960461
Food & Drink Shop -> American Restaurant,2,0.0062063615205585725,8,0.0062063615205585725
Train Station -> Bus Station,2,0.006107717934480844,11,0.006107717934480844
Coffee Shop -> Food & Drink Shop -> Bus Station,3,0.006107717934480844,11,0.006107717934480844
Coffee Shop -> Bar,2,0.0060406370126304225,33,0.0060406370126304225
Office -> Park -> Deli / Bodega,3,0.006024096385542169,9,0.006024096385542169
Subway -> Residential Building (Apartment / Condo),2,0.005983545250560957,8,0.005983545250560957
Bar -> Subway,2,0.005972474681900805,23,0.005972474681900805
Deli / Bodega -> Other Great Outdoors,2,0.005913978494623656,11,0.005913978494623656
Train Station -> Other Great Outdoors,2,0.005913978494623656,11,0.005913978494623656
Office -> Neighborhood -> Park,3,0.005869797225186766,11,0.005869797225186766
Office -> Deli / Bodega -> Office,3,0.005824838776783857,28,0.005824838776783857
Deli / Bodega -> Subway,2,0.005712801869644248,22,0.005712801869644248
Bar -> Train Station,2,0.005677517032551098,15,0.005677517032551098
Gym / Fitness Center -> Train Station,2,0.005677517032551098,15,0.005677517032551098
Train Station -> Gym / Fitness Center,2,0.005601317957166392,17,0.005601317957166392
Neighborhood -> Coffee Shop,2,0.005580357142857143,15,0.005580357142857143
Park -> Subway,2,0.005453129057387691,21,0.005453129057387691
Bus Station -> Food & Drink Shop,2,0.005449591280653951,14,0.005449591280653951
Coffee Shop -> Other Great Outdoors,2,0.005376344086021506,10,0.005376344086021506
Park -> Gym / Fitness Center,2,0.005271828665568369,16,0.005271828665568369
Home (private) -> Residential Building (Apartment / Condo),2,0.005235602094240838,7,0.005235602094240838
Neighborhood -> Food & Drink Shop,2,0.00506033476060724,13,0.00506033476060724
Train Station -> Food & Drink Shop,2,0.00506033476060724,13,0.00506033476060724
Bus Station -> Food & Drink Shop -> Bus Station,3,0.004997223764575236,9,0.004997223764575236
Office -> Subway -> Office,3,0.00499271895152902,24,0.00499271895152902
Deli / Bodega -> Gym / Fitness Center,2,0.004942339373970346,15,0.004942339373970346
Subway -> Gym / Fitness Center,2,0.004942339373970346,15,0.004942339373970346
American Restaurant -> Subway,2,0.004933783432874578,19,0.004933783432874578
Residential Building (Apartment / Condo) -> Home (private),2,0.004921259842519685,30,0.004921259842519685
Train Station -> Coffee Shop -> Train Station,3,0.004920514761544285,13,0.004920514761544285
Office -> Other Great Outdoors,2,0.004838709677419355,9,0.004838709677419355
Gym / Fitness Center -> Deli / Bodega,2,0.004685408299866131,7,0.004685408299866131
Train Station -> Other Great Outdoors -> Deli / Bodega,3,0.004685408299866131,7,0.004685408299866131
Gym / Fitness Center -> Subway,2,0.004674110620618021,18,0.004674110620618021
Park -> American Restaurant,2,0.004654771140418929,6,0.004654771140418929
Subway -> Bar,2,0.004576240161083654,25,0.004576240161083654
Bus Station -> Train Station,2,0.004542013626040878,12,0.004542013626040878
Neighborhood -> Bus Station,2,0.004441976679622432,8,0.004441976679622432
Bus Station -> Bar,2,0.004393190554640308,24,0.004393190554640308
Bus Station -> Other Great Outdoors,2,0.004301075268817204,8,0.004301075268817204
Home (private) -> Other Great Outdoors,2,0.004301075268817204,8,0.004301075268817204
Subway -> Home (private),2,0.00426509186351706,26,0.00426509186351706
Home (private) -> Subway,2,0.004154764996104908,16,0.004154764996104908
Bar -> Neighborhood,2,0.004132231404958678,7,0.004132231404958678
Food & Drink Shop -> Neighborhood,2,0.004132231404958678,7,0.004132231404958678
Office -> Subway -> Neighborhood,3,0.004132231404958678,7,0.004132231404958678
Deli / Bodega -> Home (private),2,0.004101049868766404,25,0.004101049868766404
Food & Drink Shop -> Bar,2,0.004027091341753615,22,0.004027091341753615
Neighborhood -> Office -> Deli / Bodega,3,0.004016064257028112,6,0.004016064257028112
Office -> Neighborhood -> Office,3,0.003952569169960474,19,0.003952569169960474
Other Great Outdoors -> Food & Drink Shop,2,0.003892565200467108,10,0.003892565200467108
Gym / Fitness Center -> Bus Station,2,0.003886729594669628,7,0.003886729594669628
Bus Station -> American Restaurant,2,0.003878975950349108,5,0.003878975950349108
Neighborhood -> Bar,2,0.003844041735310269,21,0.003844041735310269
Park -> Bar,2,0.003844041735310269,21,0.003844041735310269
Office -> Coffee Shop -> Train Station,3,0.003785011355034065,10,0.003785011355034065
Bar -> Residential Building (Apartment / Condo),2,0.0037397157816005983,5,0.0037397157816005983
Office -> Deli / Bodega -> Park,3,0.003735325506937033,7,0.003735325506937033
Park -> Bus Station -> Park,3,0.003735325506937033,7,0.003735325506937033
Coffee Shop -> Office -> Coffee Shop,3,0.003720238095238095,10,0.003720238095238095
Neighborhood -> Subway,2,0.003635419371591794,14,0.003635419371591794
Subway -> Neighborhood -> Office,3,0.003536509257333056,17,0.003536509257333056
Home (private) -> Bar,2,0.003477942522423577,19,0.003477942522423577
Train Station -> Gym / Fitness Center -> Train Station,3,0.0034065102195306586,9,0.0034065102195306586
Bus Station -> Deli / Bodega,2,0.0033467202141900937,5,0.0033467202141900937
Office -> Neighborhood -> Office -> Deli / Bodega,4,0.0033467202141900937,5,0.0033467202141900937
Office -> Bus Station,2,0.003331482509716824,6,0.003331482509716824
Neighborhood -> Gym / Fitness Center,2,0.0032948929159802307,10,0.0032948929159802307
Food & Drink Shop -> Other Great Outdoors,2,0.0032258064516129032,6,0.0032258064516129032
American Restaurant -> Park,2,0.0032017075773745998,6,0.0032017075773745998
Park -> Food & Drink Shop -> Park,3,0.0032017075773745998,6,0.0032017075773745998
American Restaurant -> Food & Drink Shop,2,0.003114052160373686,8,0.003114052160373686
Coffee Shop -> Office -> Train Station,3,0.003028009084027252,8,0.003028009084027252
Deli / Bodega -> Office -> Coffee Shop,3,0.002976190476190476,8,0.002976190476190476
Deli / Bodega -> Bus Station,2,0.00277623542476402,5,0.00277623542476402
Residential Building (Apartment / Condo) -> Bus Station,2,0.00277623542476402,5,0.00277623542476402
Bus Station -> Subway -> Bus Station,3,0.00277623542476402,5,0.00277623542476402
Other Great Outdoors -> Office,2,0.0027043894320782193,13,0.0027043894320782193
Other Great Outdoors -> Office -> Other Great Outdoors,3,0.0027043894320782193,6,0.0032258064516129032
American Restaurant -> Other Great Outdoors,2,0.002688172043010753,5,0.002688172043010753
Gym / Fitness Center -> Other Great Outdoors,2,0.002688172043010753,5,0.002688172043010753
Subway -> Other Great Outdoors,2,0.002688172043010753,5,0.002688172043010753
Neighborhood -> Deli / Bodega,2,0.002677376171352075,4,0.002677376171352075
Coffee Shop -> Office -> Deli / Bodega,3,0.002677376171352075,4,0.002677376171352075
Deli / Bodega -> Office -> Deli / Bodega,3,0.002677376171352075,4,0.002677376171352075
Gym / Fitness Center -> Office -> Deli / Bodega,3,0.002677376171352075,4,0.002677376171352075
Neighborhood -> Park -> Deli / Bodega,3,0.002677376171352075,4,0.002677376171352075
Coffee Shop -> Office -> Park,3,0.0026680896478121665,5,0.0026680896478121665
Office -> Subway -> Park,3,0.0026680896478121665,5,0.0026680896478121665
Park -> Deli / Bodega -> Park,3,0.0026680896478121665,5,0.0026680896478121665
Deli / Bodega -> Train Station,2,0.0026495079485238456,7,0.0026495079485238456
Food & Drink Shop -> Train Station,2,0.0026495079485238456,7,0.0026495079485238456
Home (private) -> Train Station,2,0.0026495079485238456,7,0.0026495079485238456
American Restaurant -> Gym / Fitness Center,2,0.0026359143327841844,8,0.0026359143327841844
Deli / Bodega -> Bar,2,0.002562694490206846,14,0.002562694490206846
Other Great Outdoors -> Bar,2,0.002562694490206846,14,0.002562694490206846
Deli / Bodega -> Coffee Shop -> Office,3,0.00249635947576451,12,0.00249635947576451
Subway -> Deli / Bodega -> Office,3,0.00249635947576451,12,0.00249635947576451
Deli / Bodega -> Office -> Coffee Shop -> Office,4,0.00249635947576451,12,0.00249635947576451
Gym / Fitness Center -> Office -> Neighborhood,3,0.0023612750885478157,4,0.0023612750885478157
Park -> Office -> Neighborhood,3,0.0023612750885478157,4,0.0023612750885478157
Residential Building (Apartment / Condo) -> American Restaurant,2,0.0023273855702094647,3,0.0023273855702094647
American Restaurant -> Bar -> American Restaurant,3,0.0023273855702094647,3,0.0023273855702094647
Office -> Bar -> American Restaurant,3,0.0023273855702094647,3,0.0023273855702094647
Coffee Shop -> Office -> Gym / Fitness Center,3,0.0023064250411861617,7,0.0023064250411861617
American Restaurant -> Train Station,2,0.002271006813020439,6,0.002271006813020439
Train Station -> Bar -> Train Station,3,0.002271006813020439,6,0.002271006813020439
American Restaurant -> Residential Building (Apartment / Condo),2,0.002243829468960359,3,0.002243829468960359
Coffee Shop -> Residential Building (Apartment / Condo),2,0.002243829468960359,3,0.002243829468960359
Train Station -> Residential Building (Apartment / Condo),2,0.002243829468960359,3,0.002243829468960359
American Restaurant -> Office -> Coffee Shop,3,0.002232142857142857,6,0.002232142857142857
Office -> Deli / Bodega -> Coffee Shop,3,0.002232142857142857,6,0.002232142857142857
Bar -> Other Great Outdoors,2,0.002150537634408602,4,0.002150537634408602
Gym / Fitness Center -> Coffee Shop -> Other Great Outdoors,3,0.002150537634408602,4,0.002150537634408602
Park -> Coffee Shop -> Park,3,0.0021344717182497333,4,0.0021344717182497333
Park -> Gym / Fitness Center -> Park,3,0.0021344717182497333,4,0.0021344717182497333
Park -> Office -> Park,3,0.0021344717182497333,4,0.0021344717182497333
Bar -> Home (private),2,0.00213254593175853,13,0.00213254593175853
Residential Building (Apartment / Condo) -> Bar,2,0.0020135456708768075,11,0.0020135456708768075
American Restaurant -> Deli / Bodega,2,0.002008032128514056,3,0.002008032128514056
Home (private) -> Deli / Bodega,2,0.002008032128514056,3,0.002008032128514056
Office -> Neighborhood -> Park -> Deli / Bodega,4,0.002008032128514056,3,0.002008032128514056
