algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
stbfm,23000,1738,250.0,15.0,0.0,740,1.2229246670030989,low
stbfm,23000,1738,250.0,15.0,1.0,0,1.2003203330095857,high
stbfm,23000,1738,250.0,15.0,0.5,0,1.1514972080185544,binary_1
stbfm,23000,1738,250.0,15.0,0.25,0,1.1751542089914437,binary_2
stbfm,23000,1738,250.0,15.0,0.125,0,1.1542749170039315,binary_3
stbfm,23000,1738,250.0,15.0,0.0625,0,1.1778981660027057,binary_4
stbfm,23000,1738,250.0,15.0,0.03125,5,1.1620052920188755,binary_5
stbfm,23000,1738,250.0,15.0,0.015625,17,1.1599055419792421,binary_6
stbfm,23000,1738,250.0,15.0,0.0078125,75,1.1958432919927873,binary_7
stbfm,23000,1738,250.0,15.0,0.00390625,150,1.1841064580075908,binary_8
stbfm,23000,1738,250.0,30.0,0.0,1190,1.4801839999854565,low
stbfm,23000,1738,250.0,30.0,1.0,0,1.425281416013604,high
stbfm,23000,1738,250.0,30.0,0.5,0,1.427522374986438,binary_1
stbfm,23000,1738,250.0,30.0,0.25,0,1.3940427920024376,binary_2
stbfm,23000,1738,250.0,30.0,0.125,0,1.4101330829726066,binary_3
stbfm,23000,1738,250.0,30.0,0.0625,1,1.38743400000385,binary_4
stbfm,23000,1738,250.0,30.0,0.03125,6,1.42940666701179,binary_5
stbfm,23000,1738,250.0,30.0,0.015625,39,1.4018810840207152,binary_6
stbfm,23000,1738,250.0,30.0,0.0078125,112,1.4361840419878718,binary_7
stbfm,23000,1738,250.0,30.0,0.00390625,215,1.4207602499809582,binary_8
stbfm,23000,1738,250.0,60.0,0.0,3085,1.9779615000006743,low
stbfm,23000,1738,250.0,60.0,1.0,0,1.865803708002204,high
stbfm,23000,1738,250.0,60.0,0.5,0,1.8325941659859382,binary_1
stbfm,23000,1738,250.0,60.0,0.25,0,1.862442417012062,binary_2
stbfm,23000,1738,250.0,60.0,0.125,0,1.829491375014186,binary_3
stbfm,23000,1738,250.0,60.0,0.0625,6,1.8571424589899834,binary_4
stbfm,23000,1738,250.0,60.0,0.03125,18,1.8550764169776812,binary_5
stbfm,23000,1738,250.0,60.0,0.015625,86,1.8805739160161465,binary_6
stbfm,23000,1738,250.0,60.0,0.0078125,194,1.8862647080095485,binary_7
stbfm,23000,1738,250.0,60.0,0.00390625,377,1.9172122500021942,binary_8
stbfm,23000,1738,250.0,120.0,0.0,10739,2.89784479199443,low
stbfm,23000,1738,250.0,120.0,1.0,0,2.6530595000076573,high
stbfm,23000,1738,250.0,120.0,0.5,0,2.6209131669893395,binary_1
stbfm,23000,1738,250.0,120.0,0.25,0,2.6388854999968316,binary_2
stbfm,23000,1738,250.0,120.0,0.125,2,2.607500499987509,binary_3
stbfm,23000,1738,250.0,120.0,0.0625,10,2.646288874995662,binary_4
stbfm,23000,1738,250.0,120.0,0.03125,49,2.6586135830148123,binary_5
stbfm,23000,1738,250.0,120.0,0.015625,161,2.6911875840160064,binary_6
stbfm,23000,1738,250.0,120.0,0.0078125,362,2.7493271669954993,binary_7
stbfm,23000,1738,250.0,120.0,0.00390625,808,2.7847504160017706,binary_8
stbfm,23000,1738,250.0,240.0,0.0,36189,4.805823709000833,low
stbfm,23000,1738,250.0,240.0,1.0,0,3.9147718330204953,high
stbfm,23000,1738,250.0,240.0,0.5,0,3.9339814159902744,binary_1
stbfm,23000,1738,250.0,240.0,0.25,0,3.905495916988002,binary_2
stbfm,23000,1738,250.0,240.0,0.125,6,3.990715291991364,binary_3
stbfm,23000,1738,250.0,240.0,0.0625,35,3.965884666016791,binary_4
stbfm,23000,1738,250.0,240.0,0.03125,120,4.0605270419910084,binary_5
stbfm,23000,1738,250.0,240.0,0.015625,357,4.133767540974077,binary_6
stbfm,23000,1738,250.0,240.0,0.0078125,977,4.192012708022958,binary_7
stbfm,23000,1738,250.0,240.0,0.00390625,2683,4.296912750025513,binary_8
stbfm,23000,1738,500.0,15.0,0.0,3410,1.2872880000213627,low
stbfm,23000,1738,500.0,15.0,1.0,0,1.1602955839771312,high
stbfm,23000,1738,500.0,15.0,0.5,0,1.1887527920189314,binary_1
stbfm,23000,1738,500.0,15.0,0.25,0,1.1633952500123996,binary_2
stbfm,23000,1738,500.0,15.0,0.125,0,1.1814664999837987,binary_3
stbfm,23000,1738,500.0,15.0,0.0625,5,1.170661541982554,binary_4
stbfm,23000,1738,500.0,15.0,0.03125,19,1.2039313749992289,binary_5
stbfm,23000,1738,500.0,15.0,0.015625,70,1.1994085830228869,binary_6
stbfm,23000,1738,500.0,15.0,0.0078125,181,1.2244002090010326,binary_7
stbfm,23000,1738,500.0,15.0,0.00390625,352,1.2197108340042178,binary_8
stbfm,23000,1738,500.0,30.0,0.0,11806,1.7254213340056594,low
stbfm,23000,1738,500.0,30.0,1.0,0,1.3879979999910574,high
stbfm,23000,1738,500.0,30.0,0.5,0,1.4398140409903135,binary_1
stbfm,23000,1738,500.0,30.0,0.25,0,1.4016222080099396,binary_2
stbfm,23000,1738,500.0,30.0,0.125,3,1.4331050839973614,binary_3
stbfm,23000,1738,500.0,30.0,0.0625,9,1.4009272920084186,binary_4
stbfm,23000,1738,500.0,30.0,0.03125,47,1.4621615829819348,binary_5
stbfm,23000,1738,500.0,30.0,0.015625,173,1.459573875006754,binary_6
stbfm,23000,1738,500.0,30.0,0.0078125,368,1.520684999995865,binary_7
stbfm,23000,1738,500.0,30.0,0.00390625,874,1.5231490840087645,binary_8
stbfm,23000,1738,500.0,60.0,0.0,48808,2.953313790989341,low
stbfm,23000,1738,500.0,60.0,1.0,0,1.831353667017538,high
stbfm,23000,1738,500.0,60.0,0.5,0,1.8154926669958513,binary_1
stbfm,23000,1738,500.0,60.0,0.25,0,1.8909362090053037,binary_2
stbfm,23000,1738,500.0,60.0,0.125,7,1.8329028750013094,binary_3
stbfm,23000,1738,500.0,60.0,0.0625,38,1.877433582994854,binary_4
stbfm,23000,1738,500.0,60.0,0.03125,165,1.9977749160025269,binary_5
stbfm,23000,1738,500.0,60.0,0.015625,486,2.0340617500187363,binary_6
stbfm,23000,1738,500.0,60.0,0.0078125,1364,2.1719968339893967,binary_7
stbfm,23000,1738,500.0,60.0,0.00390625,4041,2.2671168749802746,binary_8
stbfm,23000,1738,500.0,120.0,0.0,168699,6.558518459001789,low
stbfm,23000,1738,500.0,120.0,1.0,0,2.6007798750069924,high
stbfm,23000,1738,500.0,120.0,0.5,0,2.602949207997881,binary_1
stbfm,23000,1738,500.0,120.0,0.25,3,2.596231625007931,binary_2
stbfm,23000,1738,500.0,120.0,0.125,19,2.6366764580016024,binary_3
stbfm,23000,1738,500.0,120.0,0.0625,140,2.8020030000188854,binary_4
stbfm,23000,1738,500.0,120.0,0.03125,578,3.0533450419898145,binary_5
stbfm,23000,1738,500.0,120.0,0.015625,2036,3.3455384580011014,binary_6
stbfm,23000,1738,500.0,120.0,0.0234375,964,3.1538740000105463,binary_7
stbfm,23000,1738,500.0,120.0,0.01953125,1348,3.2247813750000205,binary_8
stbfm,23000,1738,500.0,240.0,0.0,420673,16.029551875020843,low
stbfm,23000,1738,500.0,240.0,1.0,0,3.925416416983353,high
stbfm,23000,1738,500.0,240.0,0.5,0,3.9068775000050664,binary_1
stbfm,23000,1738,500.0,240.0,0.25,8,3.930116499977885,binary_2
stbfm,23000,1738,500.0,240.0,0.125,87,4.201018333027605,binary_3
stbfm,23000,1738,500.0,240.0,0.0625,558,4.797169167024549,binary_4
stbfm,23000,1738,500.0,240.0,0.03125,2964,5.880488541995874,binary_5
stbfm,23000,1738,500.0,240.0,0.046875,1165,5.693299749982543,binary_6
stbfm,23000,1738,500.0,240.0,0.0390625,1736,5.509900166012812,binary_7
