algorithm,online_theta,event_count,pattern_count,significant_synapse_count,interval_seconds,cumulative_seconds,snapshot_extraction_seconds,patterns_path,metadata_path
online_stsp,0.2,500,957,242,2.535305375000462,2.535305375000462,0.01347504201112315,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_000500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_000500_metadata.json
online_stsp,0.2,1000,1121,371,2.451386458997149,4.986691833997611,0.015040500002214685,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_001000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_001000_metadata.json
online_stsp,0.2,1500,943,347,2.5881053330085706,7.5747971670061816,0.01078899999265559,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_001500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_001500_metadata.json
online_stsp,0.2,2000,47,47,2.2746392500121146,9.849436417018296,0.0006036669947206974,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_002000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_002000_metadata.json
online_stsp,0.2,2500,461,262,2.477562207990559,12.326998625008855,0.004758833994856104,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_002500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_002500_metadata.json
online_stsp,0.2,3000,106,84,2.221276083990233,14.548274708999088,0.0010464999941177666,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_003000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_003000_metadata.json
online_stsp,0.2,3500,2248,367,2.580896041006781,17.12917075000587,0.03632474999176338,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_003500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_003500_metadata.json
online_stsp,0.2,4000,271,198,2.7234298750117887,19.852600625017658,0.0028831670060753822,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_004000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_004000_metadata.json
online_stsp,0.2,4500,338,127,2.670078958995873,22.52267958401353,0.003550375025952235,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_004500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_004500_metadata.json
online_stsp,0.2,5000,2074,426,2.4289732500037644,24.951652834017295,0.028835332981543615,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_005000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_005000_metadata.json
online_stsp,0.2,5500,118,85,2.5799012079951353,27.53155404201243,0.0015040409925859421,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_005500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_005500_metadata.json
online_stsp,0.2,6000,858,254,2.493087832990568,30.024641875003,0.01021929198759608,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_006000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_006000_metadata.json
online_stsp,0.2,6500,60,51,2.63254954200238,32.65719141700538,0.0007125419797375798,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_006500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_006500_metadata.json
online_stsp,0.2,7000,669,301,2.782977208000375,35.440168625005754,0.007534208009019494,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_007000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_007000_metadata.json
online_stsp,0.2,7500,76,68,2.5862965419946704,38.026465167000424,0.0007410419930238277,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_007500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_007500_metadata.json
online_stsp,0.2,8000,395,201,2.623582041996997,40.65004720899742,0.004010625008959323,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_008000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_008000_metadata.json
online_stsp,0.2,8500,1640,379,2.7670675000117626,43.417114709009184,0.019719000003533438,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_008500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_008500_metadata.json
online_stsp,0.2,9000,335,182,2.4784923330007587,45.89560704200994,0.003556209005182609,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_009000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_009000_metadata.json
online_stsp,0.2,9500,2801,522,2.946564124984434,48.842171166994376,0.0961352500016801,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_009500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_009500_metadata.json
online_stsp,0.2,10000,0,0,2.7293507080175914,51.57152187501197,0.0006594579899683595,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_010000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_010000_metadata.json
online_stsp,0.2,10500,414,229,2.507922499993583,54.07944437500555,0.003860708005959168,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_010500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_010500_metadata.json
online_stsp,0.2,11000,209,170,2.786060999991605,56.865505374997156,0.00213574999361299,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_011000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_011000_metadata.json
online_stsp,0.2,11500,606,329,2.681288250023499,59.546793625020655,0.005488458991749212,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_011500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_011500_metadata.json
online_stsp,0.2,12000,220,146,2.9944308339909185,62.54122445901157,0.0022523750085383654,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_012000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_012000_metadata.json
online_stsp,0.2,12500,2650,440,2.826379000005545,65.36760345901712,0.03698758300743066,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_012500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_012500_metadata.json
online_stsp,0.2,13000,485,273,2.752150165993953,68.11975362501107,0.005410042009316385,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_013000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_013000_metadata.json
online_stsp,0.2,13500,1733,427,2.9023392089875415,71.02209283399861,0.022470541996881366,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_013500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_013500_metadata.json
online_stsp,0.2,14000,367,156,2.566455207997933,73.58854804199655,0.003761125000892207,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_014000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_014000_metadata.json
online_stsp,0.2,14500,389,186,2.7944772080227267,76.38302525001927,0.004177958995569497,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_014500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_014500_metadata.json
online_stsp,0.2,15000,73,33,2.7539961249858607,79.13702137500513,0.0008841249800752848,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_015000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_015000_metadata.json
online_stsp,0.2,15500,1090,307,2.7359805000014603,81.8730018750066,0.013796874991385266,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_015500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_015500_metadata.json
online_stsp,0.2,16000,322,157,2.763349541986827,84.63635141699342,0.003504207998048514,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_016000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_016000_metadata.json
online_stsp,0.2,16500,237,131,2.3748185420117807,87.0111699590052,0.002338083984795958,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_016500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_016500_metadata.json
online_stsp,0.2,17000,551,200,2.674292375013465,89.68546233401867,0.006070833012927324,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_017000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_017000_metadata.json
online_stsp,0.2,17500,271,127,2.3167527909972705,92.00221512501594,0.0028890829998999834,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_017500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_017500_metadata.json
online_stsp,0.2,18000,86,80,2.6068021249957383,94.60901725001168,0.0009680840012151748,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_018000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_018000_metadata.json
online_stsp,0.2,18500,2668,520,2.633581083995523,97.2425983340072,0.03790283401031047,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_018500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_018500_metadata.json
online_stsp,0.2,19000,508,226,2.9014767500048038,100.144075084012,0.005985124997096136,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_019000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_019000_metadata.json
online_stsp,0.2,19500,7,7,2.6609555409813765,102.80503062499338,0.00018674999591894448,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_019500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_019500_metadata.json
online_stsp,0.2,20000,159,120,2.7500380420242436,105.55506866701762,0.0013520409993361682,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_020000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_020000_metadata.json
online_stsp,0.2,20500,18,17,2.696905374992639,108.25197404201026,0.00025362501037307084,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_020500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_020500_metadata.json
online_stsp,0.2,21000,1383,304,2.8220322499983013,111.07400629200856,0.015896875003818423,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_021000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_021000_metadata.json
online_stsp,0.2,21500,684,266,2.840250957990065,113.91425724999863,0.008300790999783203,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_021500_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_021500_metadata.json
online_stsp,0.2,22000,3497,540,2.645035084016854,116.55929233401548,0.05047708301572129,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_022000_patterns.csv,Results/Quantitative_experiment/run_20260521_144433/event_types_20/theta_0_20/online/online_snapshot_022000_metadata.json
