sequence,length,sequence_index,tail_event_count,last_density_ratio
Bank -> Drugstore / Pharmacy,2,526.0981877017515,12,526.0981877017515
Bank -> Drugstore / Pharmacy -> Bus Station,3,526.0981877017515,3,4051.820023054735
Bank -> Drugstore / Pharmacy -> Bus Station -> Coffee Shop,4,526.0981877017515,2,7078.723841671951
Bank -> Drugstore / Pharmacy -> Coffee Shop,3,526.0981877017515,2,1769.6809604179878
Bank -> Drugstore / Pharmacy -> Subway,3,526.0981877017515,1,655.03356876135
Drugstore / Pharmacy -> Bus Station,2,503.5633630493802,27,503.5633630493802
Drugstore / Pharmacy -> Bus Station -> Coffee Shop,3,503.5633630493802,2,786.5248712968835
Drugstore / Pharmacy -> Bus Station -> Food & Drink Shop,3,503.5633630493802,2,844.5590162459202
Coffee Shop -> Office,2,485.86343459410506,181,485.86343459410506
Coffee Shop -> Office -> Clothing Store,3,485.86343459410506,7,1503.8126951869672
Coffee Shop -> Office -> Clothing Store -> Deli / Bodega,4,485.86343459410506,1,2767.9322364882146
Coffee Shop -> Office -> Clothing Store -> Other Great Outdoors,4,485.86343459410506,1,2143.5615148678335
Coffee Shop -> Office -> Clothing Store -> Other Great Outdoors -> Building,5,485.86343459410506,1,21938.42587438807
Coffee Shop -> Office -> Coffee Shop,3,485.86343459410506,9,527.9711152628252
Coffee Shop -> Office -> Coffee Shop -> Office,4,485.86343459410506,3,2051.131580637816
Coffee Shop -> Office -> Coffee Shop -> Office -> Train Station,5,485.86343459410506,1,3781.4523394978064
Coffee Shop -> Office -> Coffee Shop -> Train Station,4,485.86343459410506,2,2520.9682263318714
Coffee Shop -> Office -> Coffee Shop -> Train Station -> Office,5,485.86343459410506,1,3076.697370956724
Coffee Shop -> Office -> Train Station,3,485.86343459410506,8,501.4080450162837
Coffee Shop -> Office -> Train Station -> Neighborhood,4,485.86343459410506,1,2199.2728908730614
Coffee Shop -> Office -> Train Station -> Neighborhood -> Office,5,485.86343459410506,1,6153.394741913448
Office -> Building,2,482.93838803377156,80,482.93838803377156
Office -> Building -> American Restaurant,3,482.93838803377156,3,865.4281635513476
Office -> Building -> Bank,3,482.93838803377156,2,952.4569273183795
Office -> Building -> Clothing Store,3,482.93838803377156,2,680.4752445721026
Office -> Building -> Coffee Shop,3,482.93838803377156,5,663.6303601567454
Office -> Building -> Coffee Shop -> Office,4,482.93838803377156,1,1230.6789483826897
Office -> Building -> Coffee Shop -> Park,4,482.93838803377156,1,3179.3194813490186
Office -> Building -> Coffee Shop -> Park -> Office,5,482.93838803377156,1,6153.394741913448
Office -> Building -> Coffee Shop -> Subway,4,482.93838803377156,1,1572.0805650272398
Office -> Building -> College Academic Building,3,482.93838803377156,5,1290.3617708275972
Office -> Building -> Hotel,3,482.93838803377156,2,706.7663335669338
Office -> Building -> Hotel -> Bank,4,482.93838803377156,2,38098.27709273518
Office -> Building -> Hotel -> Bank -> Building,5,482.93838803377156,1,10969.212937194035
Office -> Building -> Hotel -> Bank -> Deli / Bodega,5,482.93838803377156,1,9687.762827708752
Office -> Building -> Hotel -> Bank -> Office,5,482.93838803377156,1,3076.697370956724
Office -> Building -> Hotel -> Building,4,482.93838803377156,1,10969.212937194035
Office -> Building -> Hotel -> Deli / Bodega,4,482.93838803377156,1,9687.762827708752
Office -> Building -> Hotel -> Deli / Bodega -> Office,5,482.93838803377156,1,6153.394741913448
Office -> Building -> Hotel -> Office,4,482.93838803377156,2,6153.394741913448
Office -> Building -> Hotel -> Office -> Deli / Bodega,5,482.93838803377156,1,9687.762827708752
Office -> Building -> Office,3,482.93838803377156,13,1076.8440798348536
Office -> Building -> Office -> Building,4,482.93838803377156,1,1687.5712211067746
Office -> Building -> Office -> Coffee Shop,4,482.93838803377156,1,816.7758278852251
Office -> Building -> Office -> Coffee Shop -> Office,5,482.93838803377156,2,12306.789483826897
Office -> Building -> Office -> Deli / Bodega,4,482.93838803377156,1,1490.4250504167308
Office -> Building -> Office -> Deli / Bodega -> Office,5,482.93838803377156,1,6153.394741913448
Office -> Building -> Office -> Neighborhood,4,482.93838803377156,1,1353.39870207573
Office -> Building -> Office -> Neighborhood -> Coffee Shop,5,482.93838803377156,1,10618.085762507926
Office -> Building -> Office -> Subway,4,482.93838803377156,1,604.646371164323
Building -> Office,2,482.9383880337715,86,482.9383880337715
Building -> Office -> American Restaurant,3,482.9383880337715,3,805.0494544663699
Building -> Office -> Building,3,482.9383880337715,2,510.1959505671645
Building -> Office -> Building -> American Restaurant,4,482.9383880337715,3,34617.1265420539
Building -> Office -> Building -> Road,4,482.9383880337715,1,12943.899553359037
Building -> Office -> Building -> Road -> American Restaurant,5,482.9383880337715,3,69234.2530841078
Building -> Office -> Clothing Store,3,482.9383880337715,3,949.500341263399
Building -> Office -> Clothing Store -> American Restaurant,4,482.9383880337715,3,46156.168722738534
Building -> Office -> Clothing Store -> Bar,4,482.9383880337715,1,3709.561610610015
Building -> Office -> Clothing Store -> Bar -> American Restaurant,5,482.9383880337715,3,69234.2530841078
Building -> Office -> Clothing Store -> Bar -> Building,5,482.9383880337715,1,21938.42587438807
Building -> Office -> Clothing Store -> Building,4,482.9383880337715,1,14625.617249592047
Building -> Office -> Clothing Store -> Building -> American Restaurant,5,482.9383880337715,3,69234.2530841078
Building -> Office -> Clothing Store -> Building -> Road,5,482.9383880337715,1,25887.799106718074
Building -> Office -> Clothing Store -> College Academic Building,4,482.9383880337715,1,5734.941203678209
Building -> Office -> Clothing Store -> Road,4,482.9383880337715,1,17258.53273781205
Building -> Office -> Clothing Store -> Road -> American Restaurant,5,482.9383880337715,3,69234.2530841078
Building -> Office -> Coffee Shop,3,482.9383880337715,5,864.2627946227383
Building -> Office -> Coffee Shop -> Office,4,482.9383880337715,3,3692.0368451480695
Building -> Office -> Coffee Shop -> Park,4,482.9383880337715,1,3179.3194813490186
Building -> Office -> Park,3,482.9383880337715,2,554.5324676771544
Drugstore / Pharmacy -> Bank,2,482.256672059939,10,482.256672059939
Drugstore / Pharmacy -> Bank -> American Restaurant,3,482.256672059939,1,2307.8084361369265
Drugstore / Pharmacy -> Bank -> Bus Station,3,482.256672059939,1,1620.728009221894
Drugstore / Pharmacy -> Bank -> Coffee Shop,3,482.256672059939,1,1061.8085762507926
Drugstore / Pharmacy -> Bank -> Drugstore / Pharmacy,3,482.256672059939,1,2862.8509714103643
Drugstore / Pharmacy -> Bank -> Food & Drink Shop,3,482.256672059939,1,1140.1546719319922
Drugstore / Pharmacy -> Bank -> Subway,3,482.256672059939,1,786.0402825136199
Building -> Office -> Subway,3,457.00016425210464,5,457.00016425210464
Building -> Office -> Subway -> Coffee Shop,4,457.00016425210464,1,2123.617152501585
Building -> Office -> Subway -> Hotel,4,457.00016425210464,1,5654.13066853547
Building -> Office -> Subway -> Office,4,457.00016425210464,1,1230.6789483826897
Coffee Shop -> Clothing Store,2,453.06930496478026,39,453.06930496478026
Coffee Shop -> Clothing Store -> Deli / Bodega,3,453.06930496478026,1,496.8083501389103
Coffee Shop -> Clothing Store -> Office,3,453.06930496478026,4,631.1174094270204
Coffee Shop -> Clothing Store -> Office -> Clothing Store,4,453.06930496478026,1,13609.504891442053
Coffee Shop -> Clothing Store -> Office -> Gym / Fitness Center,4,453.06930496478026,1,2434.263692911553
Coffee Shop -> Clothing Store -> Office -> Gym / Fitness Center -> Bank,5,453.06930496478026,1,38098.27709273518
Coffee Shop -> Clothing Store -> Neighborhood,3,451.13290069191004,1,451.13290069191004
Drugstore / Pharmacy -> Food & Drink Shop,2,446.0904355084895,32,446.0904355084895
Drugstore / Pharmacy -> Food & Drink Shop -> College Academic Building,3,446.0904355084895,1,537.6507378448321
Drugstore / Pharmacy -> Food & Drink Shop -> Medical Center,3,446.0904355084895,1,811.5271053482539
Drugstore / Pharmacy -> Food & Drink Shop -> Medical Center -> Hotel,4,446.0904355084895,1,28270.653342677353
Drugstore / Pharmacy -> Food & Drink Shop -> Residential Building (Apartment / Condo),3,446.0904355084895,1,707.4094330515261
Office -> Building -> Neighborhood,3,439.85457817461224,2,439.85457817461224
Office -> Building -> Neighborhood -> Building,4,439.85457817461224,1,21938.42587438807
Office -> Building -> Neighborhood -> Office,4,439.85457817461224,1,6153.394741913448
Office -> Building -> Neighborhood -> Office -> Building,5,439.85457817461224,1,21938.42587438807
Building -> Bank,2,436.75273563100296,13,436.75273563100296
Building -> Bank -> American Restaurant,3,436.75273563100296,3,5325.711775700601
Building -> Bank -> Building,3,436.75273563100296,1,1687.5712211067746
Building -> Bank -> Building -> American Restaurant,4,436.75273563100296,3,69234.2530841078
Building -> Bank -> Building -> Road,4,436.75273563100296,1,25887.799106718074
Building -> Bank -> Building -> Road -> American Restaurant,5,436.75273563100296,3,69234.2530841078
Building -> Bank -> Clothing Store,3,436.75273563100296,2,4187.539966597555
Building -> Bank -> Clothing Store -> American Restaurant,4,436.75273563100296,3,69234.2530841078
Building -> Bank -> Clothing Store -> Bar,4,436.75273563100296,1,5564.342415915024
Building -> Bank -> Clothing Store -> Bar -> American Restaurant,5,436.75273563100296,3,69234.2530841078
Building -> Bank -> Clothing Store -> Bar -> Building,5,436.75273563100296,1,21938.42587438807
Building -> Bank -> Clothing Store -> Building,4,436.75273563100296,1,21938.42587438807
Building -> Bank -> Clothing Store -> Building -> American Restaurant,5,436.75273563100296,3,69234.2530841078
Building -> Bank -> Clothing Store -> Building -> Road,5,436.75273563100296,1,25887.799106718074
Building -> Bank -> Clothing Store -> Road,4,436.75273563100296,1,25887.799106718074
Building -> Bank -> Clothing Store -> Road -> American Restaurant,5,436.75273563100296,3,69234.2530841078
Building -> Bank -> Deli / Bodega,3,436.75273563100296,1,1490.4250504167308
Building -> Bank -> Office,3,436.75273563100296,1,473.3380570702652
Building -> Bank -> Office -> American Restaurant,4,436.75273563100296,3,69234.2530841078
Building -> Bank -> Office -> Bar,4,436.75273563100296,1,5564.342415915024
Building -> Bank -> Office -> Bar -> American Restaurant,5,436.75273563100296,3,69234.2530841078
Building -> Bank -> Office -> Bar -> Building,5,436.75273563100296,1,21938.42587438807
Building -> Bank -> Office -> Building,4,436.75273563100296,1,21938.42587438807
Building -> Bank -> Office -> Building -> American Restaurant,5,436.75273563100296,3,69234.2530841078
Building -> Bank -> Office -> Building -> Road,5,436.75273563100296,1,25887.799106718074
Building -> Bank -> Office -> Clothing Store,4,436.75273563100296,2,54438.01956576821
Building -> Bank -> Office -> Clothing Store -> American Restaurant,5,436.75273563100296,3,69234.2530841078
Building -> Bank -> Office -> Clothing Store -> Bar,5,436.75273563100296,1,5564.342415915024
Building -> Bank -> Office -> Clothing Store -> Building,5,436.75273563100296,1,21938.42587438807
Building -> Bank -> Office -> Clothing Store -> Road,5,436.75273563100296,1,25887.799106718074
Building -> Bank -> Road,3,436.75273563100296,1,1991.3691620552365
Building -> Bank -> Road -> American Restaurant,4,436.75273563100296,3,69234.2530841078
Coffee Shop -> Office -> Gym / Fitness Center,3,430.36706173021923,7,430.36706173021923
Coffee Shop -> Office -> Gym / Fitness Center -> Bank,4,430.36706173021923,1,5442.611013247883
Coffee Shop -> Office -> Gym / Fitness Center -> Office,4,430.36706173021923,1,879.0563917019213
Office -> Coffee Shop,2,428.08508020994117,141,428.08508020994117
Office -> Coffee Shop -> Bank,3,428.08508020994117,2,540.4010935139743
Office -> Coffee Shop -> Bank -> Coffee Shop,4,428.08508020994117,1,5309.042881253963
Office -> Coffee Shop -> Bank -> Coffee Shop -> Subway,5,428.08508020994117,1,7860.4028251362
Office -> Coffee Shop -> Bank -> Subway,4,428.08508020994117,2,7860.4028251362
Office -> Coffee Shop -> Building,3,428.08508020994117,3,466.77501860400156
Office -> Coffee Shop -> Building -> Office,4,428.08508020994117,4,10255.65790318908
Office -> Coffee Shop -> Drugstore / Pharmacy,3,428.08508020994117,3,609.1172279596522
Office -> Coffee Shop -> Drugstore / Pharmacy -> Gym / Fitness Center,4,428.08508020994117,1,3245.68492388207
Office -> Coffee Shop -> Hotel,3,428.08508020994117,4,802.0043501468753
Office -> Coffee Shop -> Hotel -> Building,4,428.08508020994117,2,10969.212937194035
Office -> Coffee Shop -> Hotel -> Building -> Office,5,428.08508020994117,1,6153.394741913448
Office -> Coffee Shop -> Hotel -> Office,4,428.08508020994117,1,1538.348685478362
Office -> Coffee Shop -> Office,3,428.08508020994117,48,2094.7726780981952
Office -> Coffee Shop -> Office -> Clothing Store,4,428.08508020994117,1,1134.125407620171
Office -> Coffee Shop -> Office -> Clothing Store -> Deli / Bodega,5,428.08508020994117,1,19375.525655417503
Office -> Coffee Shop -> Office -> Food & Drink Shop,4,428.08508020994117,2,475.06444663833014
Office -> Coffee Shop -> Office -> Gym / Fitness Center,4,428.08508020994117,2,608.5659232278882
Office -> Coffee Shop -> Office -> Hotel,4,428.08508020994117,1,588.9719446391115
Office -> Coffee Shop -> Office -> Train Station,4,428.08508020994117,4,945.3630848744516
Office -> Coffee Shop -> Train Station,3,428.08508020994117,7,563.1950292869074
Office -> Coffee Shop -> Train Station -> Coffee Shop,4,428.08508020994117,1,1516.8693946439896
Office -> Coffee Shop -> Train Station -> Coffee Shop -> Office,5,428.08508020994117,1,6153.394741913448
Office -> Coffee Shop -> Train Station -> Coffee Shop -> Train Station,5,428.08508020994117,1,11344.35701849342
Office -> Coffee Shop -> Train Station -> Office,4,428.08508020994117,1,1758.1127834038425
Office -> Coffee Shop -> Train Station -> Office -> Train Station,5,428.08508020994117,1,11344.35701849342
Building -> Bank -> Bar,3,428.026339685771,1,428.026339685771
Building -> Bank -> Bar -> American Restaurant,4,428.026339685771,3,69234.2530841078
Building -> Bank -> Bar -> Building,4,428.026339685771,1,21938.42587438807
Building -> Bank -> Bar -> Building -> American Restaurant,5,428.026339685771,3,69234.2530841078
Building -> Bank -> Bar -> Building -> Road,5,428.026339685771,1,25887.799106718074
Deli / Bodega -> Building,2,427.15003649509487,24,427.15003649509487
Deli / Bodega -> Building -> Bank,3,427.15003649509487,1,1587.4282121972992
Deli / Bodega -> Building -> College Academic Building,3,427.15003649509487,1,716.8676504597761
Deli / Bodega -> Building -> Deli / Bodega,3,427.15003649509487,2,1614.6271379514585
Deli / Bodega -> Building -> Hotel,3,427.15003649509487,3,3533.831667834669
Deli / Bodega -> Building -> Hotel -> Bank,4,427.15003649509487,1,12699.425697578394
Deli / Bodega -> Building -> Office,3,427.15003649509487,3,769.174342739181
