length,support,support_ratio,event_type_sequence,locations,weights,weight_ratios
2,6.891887032941869,0.6891887032941869,Gym / Fitness Center -> Neighborhood,"[(-74.00898152589798, 40.753129870446905), (-74.06804484128952, 40.71049058128926)]","(6.891887032941869,)","(0.6891887032941869,)"
2,6.854064778956155,0.6854064778956155,Bar -> Neighborhood,"[(-74.00898152589798, 40.71049058128926), (-74.06804484128952, 40.71049058128926)]","(6.854064778956155,)","(0.6854064778956155,)"
2,6.851520519473795,0.6851520519473795,Food & Drink Shop -> Neighborhood,"[(-74.00898152589798, 40.753129870446905), (-74.06804484128952, 40.71049058128926)]","(6.851520519473795,)","(0.6851520519473795,)"
2,6.836185549246156,0.6836185549246155,Food & Drink Shop -> Neighborhood,"[(-73.94991821050644, 40.71049058128926), (-74.06804484128952, 40.71049058128926)]","(6.836185549246156,)","(0.6836185549246155,)"
2,6.797513103422683,0.6797513103422683,Train Station -> Neighborhood,"[(-74.00898152589798, 40.753129870446905), (-74.06804484128952, 40.71049058128926)]","(6.797513103422683,)","(0.6797513103422683,)"
2,6.732041010042813,0.6732041010042813,Subway -> Neighborhood,"[(-74.00898152589798, 40.71049058128926), (-74.06804484128952, 40.71049058128926)]","(6.732041010042813,)","(0.6732041010042813,)"
2,6.692826785999127,0.6692826785999128,Coffee Shop -> Neighborhood,"[(-74.00898152589798, 40.753129870446905), (-74.06804484128952, 40.71049058128926)]","(6.692826785999127,)","(0.6692826785999128,)"
2,6.621483430894885,0.6621483430894884,Gym / Fitness Center -> Drugstore / Pharmacy,"[(-74.00898152589798, 40.753129870446905), (-74.00898152589798, 40.753129870446905)]","(6.621483430894885,)","(0.6621483430894884,)"
2,6.588203779912416,0.6588203779912416,Food & Drink Shop -> Drugstore / Pharmacy,"[(-74.00898152589798, 40.753129870446905), (-74.00898152589798, 40.753129870446905)]","(6.588203779912416,)","(0.6588203779912416,)"
2,6.57554559225411,0.657554559225411,Bar -> Drugstore / Pharmacy,"[(-74.00898152589798, 40.71049058128926), (-74.00898152589798, 40.753129870446905)]","(6.57554559225411,)","(0.657554559225411,)"
2,6.574213304517865,0.6574213304517864,Food & Drink Shop -> Drugstore / Pharmacy,"[(-73.94991821050644, 40.71049058128926), (-74.00898152589798, 40.753129870446905)]","(6.574213304517865,)","(0.6574213304517864,)"
