algorithm,event_count,target_pattern_count,spatial_radius,temporal_window,threshold,pattern_count,mining_seconds,phase
sts_miner,28500,263,250.0,15.0,1.0,1178,7.074264750001021,low
sts_miner,28500,263,250.0,15.0,2.0,1178,6.982245833030902,high
sts_miner,28500,263,250.0,15.0,4.0,1178,6.974814124987461,expand_high
sts_miner,28500,263,250.0,15.0,8.0,1176,6.952334208006505,expand_high
sts_miner,28500,263,250.0,15.0,16.0,1160,6.867586707987357,expand_high
sts_miner,28500,263,250.0,15.0,32.0,1119,6.721642833959777,expand_high
sts_miner,28500,263,250.0,15.0,64.0,962,6.063473457994405,expand_high
sts_miner,28500,263,250.0,15.0,128.0,759,5.155569750000723,expand_high
sts_miner,28500,263,250.0,15.0,256.0,443,3.6656855000182986,expand_high
sts_miner,28500,263,250.0,15.0,512.0,132,2.1924788340111263,expand_high
sts_miner,28500,263,250.0,15.0,384.0,256,2.7853827090002596,binary_1
