event_type_count,online_theta,event_count,baseline_algorithm,left_algorithm,right_algorithm,left_pattern_sequences,right_pattern_sequences,intersection_size,union_size,jaccard_similarity
15,0.1,500,stbfm,online_stsp,stbfm,14,27,2,39,0.05128205128205128
15,0.1,1000,stbfm,online_stsp,stbfm,1939,4288,98,6129,0.015989557839778103
15,0.1,1500,stbfm,online_stsp,stbfm,784,1553,150,2187,0.06858710562414266
15,0.1,2000,stbfm,online_stsp,stbfm,1344,3138,144,4338,0.03319502074688797
15,0.1,2500,stbfm,online_stsp,stbfm,13,16,1,28,0.03571428571428571
15,0.1,3000,stbfm,online_stsp,stbfm,87,160,28,219,0.1278538812785388
15,0.1,3500,stbfm,online_stsp,stbfm,358,749,83,1024,0.0810546875
15,0.1,4000,stbfm,online_stsp,stbfm,27,40,5,62,0.08064516129032258
15,0.1,4500,stbfm,online_stsp,stbfm,1660,3944,358,5246,0.068242470453679
15,0.1,5000,stbfm,online_stsp,stbfm,421,745,69,1097,0.06289881494986327
15,0.1,5500,stbfm,online_stsp,stbfm,192,584,73,703,0.10384068278805121
15,0.1,6000,stbfm,online_stsp,stbfm,258,580,49,789,0.062103929024081114
15,0.1,6500,stbfm,online_stsp,stbfm,425,783,76,1132,0.06713780918727916
15,0.1,7000,stbfm,online_stsp,stbfm,1034,1603,203,2434,0.08340180772391126
15,0.1,7500,stbfm,online_stsp,stbfm,1269,3135,206,4198,0.049070986183897096
15,0.1,8000,stbfm,online_stsp,stbfm,159,314,41,432,0.09490740740740741
15,0.1,8500,stbfm,online_stsp,stbfm,2248,5033,255,7026,0.036293766011955594
15,0.1,9000,stbfm,online_stsp,stbfm,348,635,75,908,0.08259911894273128
15,0.1,9500,stbfm,online_stsp,stbfm,12135,29571,2193,39513,0.05550072128160352
15,0.1,10000,stbfm,online_stsp,stbfm,1777,4482,194,6065,0.03198680956306678
15,0.1,10500,stbfm,online_stsp,stbfm,49,64,9,104,0.08653846153846154
15,0.1,11000,stbfm,online_stsp,stbfm,2507,7557,355,9709,0.03656401277165516
15,0.1,11500,stbfm,online_stsp,stbfm,109,228,44,293,0.15017064846416384
15,0.1,12000,stbfm,online_stsp,stbfm,120,217,53,284,0.18661971830985916
15,0.1,12500,stbfm,online_stsp,stbfm,163,227,26,364,0.07142857142857142
15,0.1,13000,stbfm,online_stsp,stbfm,1138,3427,142,4423,0.032104906172281254
15,0.1,13500,stbfm,online_stsp,stbfm,1017,2290,165,3142,0.05251432208784214
15,0.1,14000,stbfm,online_stsp,stbfm,548,1123,66,1605,0.041121495327102804
15,0.1,14500,stbfm,online_stsp,stbfm,1118,1863,226,2755,0.08203266787658803
15,0.1,15000,stbfm,online_stsp,stbfm,799,1876,75,2600,0.028846153846153848
15,0.1,15500,stbfm,online_stsp,stbfm,1696,3570,213,5053,0.042153176330892536
15,0.1,16000,stbfm,online_stsp,stbfm,834,1324,181,1977,0.09155285786545271
15,0.1,16500,stbfm,online_stsp,stbfm,72,155,32,195,0.1641025641025641
15,0.1,17000,stbfm,online_stsp,stbfm,23,48,5,66,0.07575757575757576
15,0.1,17500,stbfm,online_stsp,stbfm,97,207,47,257,0.1828793774319066
15,0.1,18000,stbfm,online_stsp,stbfm,565,1711,179,2097,0.08536003814973772
15,0.1,18500,stbfm,online_stsp,stbfm,3557,6623,505,9675,0.05219638242894057
15,0.1,19000,stbfm,online_stsp,stbfm,2434,5311,414,7331,0.056472513981721456
15,0.1,19500,stbfm,online_stsp,stbfm,868,2863,323,3408,0.09477699530516431
15,0.1,20000,stbfm,online_stsp,stbfm,262,445,99,608,0.16282894736842105
15,0.1,20500,stbfm,online_stsp,stbfm,124,208,38,294,0.1292517006802721
15,0.1,21000,stbfm,online_stsp,stbfm,609,1346,164,1791,0.09156895589056394
15,0.1,21500,stbfm,online_stsp,stbfm,26,45,9,62,0.14516129032258066
15,0.1,22000,stbfm,online_stsp,stbfm,388,886,114,1160,0.09827586206896552
15,0.1,22500,stbfm,online_stsp,stbfm,111,628,52,687,0.07569141193595343
15,0.1,23000,stbfm,online_stsp,stbfm,2430,7429,398,9461,0.04206743473205792
15,0.1,23500,stbfm,online_stsp,stbfm,844,2382,201,3025,0.06644628099173554
15,0.1,24000,stbfm,online_stsp,stbfm,762,1276,127,1911,0.06645735217163788
15,0.1,24500,stbfm,online_stsp,stbfm,1052,1980,311,2721,0.11429621462697538
15,0.1,25000,stbfm,online_stsp,stbfm,136,398,41,493,0.08316430020283976
15,0.1,25500,stbfm,online_stsp,stbfm,362,807,82,1087,0.07543698252069918
15,0.1,26000,stbfm,online_stsp,stbfm,1397,3887,168,5116,0.0328381548084441
15,0.1,26500,stbfm,online_stsp,stbfm,2514,4934,475,6973,0.0681198910081744
15,0.1,27000,stbfm,online_stsp,stbfm,1286,3921,232,4975,0.04663316582914573
15,0.1,27500,stbfm,online_stsp,stbfm,2188,4524,310,6402,0.04842236800999688
15,0.1,28000,stbfm,online_stsp,stbfm,4169,8934,600,12503,0.04798848276413661
15,0.1,28500,stbfm,online_stsp,stbfm,3101,6423,584,8940,0.06532438478747203
15,0.1,29000,stbfm,online_stsp,stbfm,253,824,61,1016,0.060039370078740155
15,0.1,29500,stbfm,online_stsp,stbfm,418,902,103,1217,0.08463434675431389
15,0.1,30000,stbfm,online_stsp,stbfm,3084,8862,645,11301,0.05707459516856915
15,0.1,30500,stbfm,online_stsp,stbfm,1307,3619,165,4761,0.03465658475110271
15,0.1,31000,stbfm,online_stsp,stbfm,51,75,15,111,0.13513513513513514
15,0.1,31500,stbfm,online_stsp,stbfm,1047,2510,238,3319,0.07170834588731545
15,0.1,32000,stbfm,online_stsp,stbfm,11,13,1,23,0.043478260869565216
15,0.1,32500,stbfm,online_stsp,stbfm,5845,12280,468,17657,0.026505068811236338
15,0.1,33000,stbfm,online_stsp,stbfm,1505,3797,310,4992,0.062099358974358976
15,0.1,33500,stbfm,online_stsp,stbfm,95,201,33,263,0.12547528517110265
15,0.1,34000,stbfm,online_stsp,stbfm,31,39,5,65,0.07692307692307693
15,0.1,34500,stbfm,online_stsp,stbfm,297,622,99,820,0.12073170731707317
15,0.1,35000,stbfm,online_stsp,stbfm,70,154,22,202,0.10891089108910891
15,0.1,35500,stbfm,online_stsp,stbfm,5005,8699,649,13055,0.049712753734201455
15,0.1,36000,stbfm,online_stsp,stbfm,2409,5553,253,7709,0.0328187832403684
15,0.1,36500,stbfm,online_stsp,stbfm,2257,5524,222,7559,0.029368964148696917
15,0.1,37000,stbfm,online_stsp,stbfm,212,282,43,451,0.09534368070953436
15,0.1,37500,stbfm,online_stsp,stbfm,15130,30656,2838,42948,0.06607991058955015
15,0.1,38000,stbfm,online_stsp,stbfm,46,74,8,112,0.07142857142857142
15,0.1,38500,stbfm,online_stsp,stbfm,1035,2433,93,3375,0.027555555555555555
15,0.1,39000,stbfm,online_stsp,stbfm,337,668,88,917,0.09596510359869138
15,0.1,39500,stbfm,online_stsp,stbfm,266,482,43,705,0.06099290780141844
15,0.1,40000,stbfm,online_stsp,stbfm,2095,4047,260,5882,0.044202652159129545
15,0.1,40500,stbfm,online_stsp,stbfm,64,280,25,319,0.07836990595611286
15,0.1,41000,stbfm,online_stsp,stbfm,613,1116,108,1621,0.06662553979025293
15,0.1,41500,stbfm,online_stsp,stbfm,249,489,79,659,0.11987860394537178
15,0.1,42000,stbfm,online_stsp,stbfm,77,144,24,197,0.1218274111675127
15,0.1,42500,stbfm,online_stsp,stbfm,1238,3434,176,4496,0.03914590747330961
15,0.1,43000,stbfm,online_stsp,stbfm,12,21,1,32,0.03125
15,0.1,43500,stbfm,online_stsp,stbfm,709,2300,144,2865,0.050261780104712044
15,0.1,44000,stbfm,online_stsp,stbfm,3083,8592,503,11172,0.04502327246688149
15,0.1,44500,stbfm,online_stsp,stbfm,1170,3062,218,4014,0.05430991529646238
15,0.1,45000,stbfm,online_stsp,stbfm,1432,3128,263,4297,0.06120549220386316
15,0.1,45500,stbfm,online_stsp,stbfm,958,1514,227,2245,0.10111358574610245
15,0.1,46000,stbfm,online_stsp,stbfm,466,1214,91,1589,0.05726872246696035
15,0.1,46500,stbfm,online_stsp,stbfm,210,466,56,620,0.09032258064516129
15,0.1,47000,stbfm,online_stsp,stbfm,49,140,22,167,0.1317365269461078
